year,country,industry,action,asset,data_type,data_stolen
2016,US,541211,['unknown'],Unknown,"['Bank', 'Personal']",Yes
2016,US,813110,['misuse'],M - Documents,['Payment'],Yes
2016,SG,323111,['error'],M - Documents,['Personal'],Yes
2012,US,923140,['error'],M - Disk media,['Unknown'],Yes
2014,US,56142,['physical'],U - Desktop,['Medical'],Potentially
2013,US,000,['physical'],U - Laptop,['Medical'],Potentially
2012,US,621340,['misuse'],S - Web application,['Personal'],Yes
2012,US,541511,['hacking'],S - Unknown,['Personal'],Yes
2011,US,923140,['error'],M - Documents,['Unknown'],Yes
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2009,US,524114,['physical'],M - Disk drive,['Personal'],Potentially
2012,US,623110,['physical'],U - Laptop,"['Personal', 'Medical']",Potentially
2010,US,531210,"['hacking', 'malware', 'social']",U - Desktop,['Credentials'],Yes
2012,US,611310,['malware'],S - Database,['Personal'],Yes
2014,US,923140,['error'],M - Documents,['Medical'],Yes
2025,AU,54151,['hacking'],S - Web application,['Unknown'],Yes
2010,US,923140,['error'],M - Documents,['Unknown'],Yes
2010,US,621111,['hacking'],S - Web application,['Medical'],Yes
2013,US,611310,['physical'],M - Disk drive,['Personal'],Potentially
2013,GB,622110,['error'],M - Documents,['Medical'],Yes
2020,MY,611710,['error'],S - Database,['Personal'],Yes
2015,US,621111,['physical'],U - Laptop,['Personal'],Potentially
2015,US,622110,['physical'],U - Laptop,['Medical'],Yes
2012,GB,92,['error'],M - Documents,['Medical'],Yes
2012,US,621210,['misuse'],S - Unknown,['Medical'],Potentially
2017,GB,4461,['error'],S - Mail,['Personal'],Yes
2015,US,921190,['error'],M - Disk media,['Personal'],Yes
2012,US,923140,['error'],M - Documents,['Unknown'],Yes
2020,IN,921,['error'],S - Database,"['Medical', 'Credentials']",Yes
2018,US,713910,['malware'],S - Unknown,['Unknown'],Potentially
2012,GB,92,['error'],S - Web application,['Credentials'],Yes
2012,US,621498,['error'],M - Flash drive,"['Medical', 'Personal']",Potentially
2019,CA,812191,['error'],S - Web application,['Personal'],Yes
2019,GB,713,['hacking'],S - Database,['Personal'],Yes
2015,US,923140,['misuse'],S - Database,"['Bank', 'Personal']",Yes
